Epoch,Training RMSE,Validation RMSE,Hidden Size,Number of Layers,Learning Rate,Sequence Length,Batch Size
550,0.0755,0.4381,16,2,0.0003,60,32
600,0.0754,0.4495,16,2,0.0003,60,32
50,0.2008,0.4058,16,2,0.0005,60,32
100,0.1461,0.4060,16,2,0.0005,60,32
150,0.1169,0.4385,16,2,0.0005,60,32
200,0.1103,0.3999,16,2,0.0005,60,32
250,0.0985,0.3795,16,2,0.0005,60,32
300,0.0919,0.3763,16,2,0.0005,60,32
350,0.0895,0.3962,16,2,0.0005,60,32
400,0.0946,0.3703,16,2,0.0005,60,32
450,0.0835,0.3891,16,2,0.0005,60,32
500,0.0742,0.3881,16,2,0.0005,60,32
550,0.0712,0.3952,16,2,0.0005,60,32
600,0.0730,0.4041,16,2,0.0005,60,32
50,0.1581,0.3943,16,2,0.001,60,32
100,0.1195,0.3870,16,2,0.001,60,32
150,0.1174,0.3883,16,2,0.001,60,32
200,0.1188,0.4014,16,2,0.001,60,32
250,0.0930,0.4096,16,2,0.001,60,32
300,0.0893,0.4131,16,2,0.001,60,32
350,0.0802,0.4020,16,2,0.001,60,32
400,0.0727,0.4098,16,2,0.001,60,32
450,0.0816,0.3979,16,2,0.001,60,32
500,0.0891,0.4095,16,2,0.001,60,32
550,0.0769,0.4184,16,2,0.001,60,32
600,0.0720,0.4244,16,2,0.001,60,32
50,0.8672,0.6010,16,1,1e-05,60,32
100,0.6013,0.5560,16,1,1e-05,60,32
150,0.5028,0.4901,16,1,1e-05,60,32
200,0.4607,0.4495,16,1,1e-05,60,32
250,0.4373,0.4264,16,1,1e-05,60,32
300,0.4223,0.4147,16,1,1e-05,60,32
350,0.4116,0.4095,16,1,1e-05,60,32
400,0.4031,0.4072,16,1,1e-05,60,32
450,0.3957,0.4063,16,1,1e-05,60,32
500,0.3890,0.4059,16,1,1e-05,60,32
550,0.3825,0.4054,16,1,1e-05,60,32
600,0.3762,0.4048,16,1,1e-05,60,32
50,0.4460,0.4309,16,1,5e-05,60,32
100,0.3922,0.4043,16,1,5e-05,60,32
150,0.3602,0.3993,16,1,5e-05,60,32
200,0.3258,0.3878,16,1,5e-05,60,32
250,0.2927,0.3794,16,1,5e-05,60,32
300,0.2636,0.3787,16,1,5e-05,60,32
350,0.2371,0.3833,16,1,5e-05,60,32
400,0.2175,0.3889,16,1,5e-05,60,32
450,0.2022,0.3943,16,1,5e-05,60,32
500,0.1887,0.3989,16,1,5e-05,60,32
550,0.1777,0.4011,16,1,5e-05,60,32
600,0.1694,0.4003,16,1,5e-05,60,32
50,0.3963,0.4037,16,1,0.0001,60,32
100,0.3302,0.3872,16,1,0.0001,60,32
150,0.2667,0.3799,16,1,0.0001,60,32
200,0.2203,0.3890,16,1,0.0001,60,32
250,0.1903,0.3983,16,1,0.0001,60,32
300,0.1707,0.4000,16,1,0.0001,60,32
350,0.1581,0.3958,16,1,0.0001,60,32
400,0.1484,0.3930,16,1,0.0001,60,32
450,0.1410,0.3940,16,1,0.0001,60,32
500,0.1355,0.3973,16,1,0.0001,60,32
550,0.1312,0.4021,16,1,0.0001,60,32
600,0.1273,0.4083,16,1,0.0001,60,32
50,0.2834,0.3830,16,1,0.0003,60,32
100,0.1779,0.4173,16,1,0.0003,60,32
150,0.1436,0.3998,16,1,0.0003,60,32
200,0.1315,0.3986,16,1,0.0003,60,32
250,0.1261,0.4011,16,1,0.0003,60,32
300,0.1200,0.4051,16,1,0.0003,60,32
350,0.1144,0.4116,16,1,0.0003,60,32
400,0.1090,0.4175,16,1,0.0003,60,32
450,0.1039,0.4203,16,1,0.0003,60,32
500,0.1025,0.4188,16,1,0.0003,60,32
550,0.0943,0.4369,16,1,0.0003,60,32
600,0.0938,0.4257,16,1,0.0003,60,32
50,0.2098,0.4352,16,1,0.0005,60,32
100,0.1488,0.4390,16,1,0.0005,60,32
150,0.1347,0.4174,16,1,0.0005,60,32
200,0.1254,0.4150,16,1,0.0005,60,32
250,0.1173,0.4132,16,1,0.0005,60,32
300,0.1104,0.4154,16,1,0.0005,60,32
350,0.1033,0.4311,16,1,0.0005,60,32
400,0.0974,0.4325,16,1,0.0005,60,32
450,0.0917,0.4492,16,1,0.0005,60,32
500,0.0854,0.4349,16,1,0.0005,60,32
550,0.0900,0.4402,16,1,0.0005,60,32
600,0.1000,0.4311,16,1,0.0005,60,32
50,0.1726,0.4330,16,1,0.001,60,32
100,0.1423,0.4191,16,1,0.001,60,32
150,0.1257,0.4580,16,1,0.001,60,32
200,0.1143,0.4632,16,1,0.001,60,32
250,0.1139,0.4998,16,1,0.001,60,32
300,0.1024,0.4938,16,1,0.001,60,32
350,0.1014,0.5052,16,1,0.001,60,32
400,0.0908,0.5263,16,1,0.001,60,32
450,0.0840,0.5171,16,1,0.001,60,32
500,0.0930,0.5035,16,1,0.001,60,32
550,0.0872,0.5392,16,1,0.001,60,32
600,0.0809,0.5269,16,1,0.001,60,32
