Epoch,Training RMSE,Validation RMSE,Hidden Size,Number of Layers,Learning Rate,Sequence Length,Batch Size
150,0.1258,0.4188,32,2,0.0003,60,32
200,0.1148,0.4281,32,2,0.0003,60,32
250,0.0969,0.4366,32,2,0.0003,60,32
300,0.0814,0.4549,32,2,0.0003,60,32
350,0.0852,0.4638,32,2,0.0003,60,32
400,0.0740,0.4701,32,2,0.0003,60,32
450,0.0819,0.4756,32,2,0.0003,60,32
500,0.0758,0.4727,32,2,0.0003,60,32
550,0.0667,0.4819,32,2,0.0003,60,32
600,0.0682,0.4839,32,2,0.0003,60,32
50,0.1653,0.4017,32,2,0.0005,60,32
100,0.1180,0.4195,32,2,0.0005,60,32
150,0.1018,0.4109,32,2,0.0005,60,32
200,0.1044,0.4093,32,2,0.0005,60,32
250,0.0961,0.4094,32,2,0.0005,60,32
300,0.0815,0.4125,32,2,0.0005,60,32
350,0.0679,0.4138,32,2,0.0005,60,32
400,0.0657,0.4180,32,2,0.0005,60,32
450,0.0767,0.4191,32,2,0.0005,60,32
500,0.0670,0.4370,32,2,0.0005,60,32
550,0.0642,0.4344,32,2,0.0005,60,32
600,0.0786,0.4524,32,2,0.0005,60,32
50,0.1667,0.3965,32,2,0.001,60,32
100,0.1331,0.4321,32,2,0.001,60,32
150,0.1086,0.4422,32,2,0.001,60,32
200,0.0915,0.4179,32,2,0.001,60,32
250,0.1018,0.4219,32,2,0.001,60,32
300,0.0849,0.4144,32,2,0.001,60,32
350,0.0896,0.4142,32,2,0.001,60,32
400,0.0750,0.4197,32,2,0.001,60,32
450,0.0824,0.4045,32,2,0.001,60,32
500,0.0617,0.4017,32,2,0.001,60,32
550,0.0668,0.4122,32,2,0.001,60,32
600,0.0641,0.4185,32,2,0.001,60,32
50,0.4751,0.5049,32,3,1e-05,60,32
100,0.4116,0.4665,32,3,1e-05,60,32
150,0.3856,0.4682,32,3,1e-05,60,32
200,0.3641,0.4617,32,3,1e-05,60,32
250,0.3443,0.4522,32,3,1e-05,60,32
300,0.3262,0.4413,32,3,1e-05,60,32
350,0.3099,0.4306,32,3,1e-05,60,32
400,0.2951,0.4215,32,3,1e-05,60,32
450,0.2816,0.4143,32,3,1e-05,60,32
500,0.2695,0.4088,32,3,1e-05,60,32
550,0.2586,0.4045,32,3,1e-05,60,32
600,0.2483,0.4005,32,3,1e-05,60,32
50,0.3573,0.4482,32,3,5e-05,60,32
100,0.2867,0.4046,32,3,5e-05,60,32
150,0.2407,0.3896,32,3,5e-05,60,32
200,0.2057,0.3823,32,3,5e-05,60,32
250,0.1839,0.3855,32,3,5e-05,60,32
300,0.1680,0.3890,32,3,5e-05,60,32
350,0.1530,0.3940,32,3,5e-05,60,32
400,0.1472,0.4035,32,3,5e-05,60,32
450,0.1399,0.4089,32,3,5e-05,60,32
500,0.1339,0.4138,32,3,5e-05,60,32
550,0.1283,0.4181,32,3,5e-05,60,32
600,0.1232,0.4220,32,3,5e-05,60,32
50,0.3013,0.4041,32,3,0.0001,60,32
100,0.2176,0.3884,32,3,0.0001,60,32
150,0.1755,0.3972,32,3,0.0001,60,32
200,0.1593,0.4086,32,3,0.0001,60,32
250,0.1400,0.4167,32,3,0.0001,60,32
