num_layers,hidden_size,learning_rate,num_epochs,RMSE
2,4,0.001,300,0.3251917039825657
2,4,0.001,350,0.3237150945220461
2,4,0.001,400,0.3229018433562843
2,4,0.001,450,0.3222811724062445
2,4,0.001,500,0.32213083396042935
2,4,0.001,550,0.32212553736412813
2,4,0.001,600,0.3221625654560127

2,8,1e-05,50,1.3848770161364503
2,8,1e-05,100,0.3604905602149089
2,8,1e-05,150,0.331372190377215
2,8,1e-05,200,0.3266693250797729
2,8,1e-05,250,0.3244323256816153
2,8,1e-05,300,0.32307093022188993
2,8,1e-05,350,0.3221524588975815
2,8,1e-05,400,0.32149130534492537
2,8,1e-05,450,0.3209918540347327
2,8,1e-05,500,0.32060122851688483
2,8,1e-05,550,0.320287121953705
2,8,1e-05,600,0.320028854015475

2,8,5e-05,50,0.3636676415218524
2,8,5e-05,100,0.3220440999058131
2,8,5e-05,150,0.3191728087764666
2,8,5e-05,200,0.3183958699657903
2,8,5e-05,250,0.3180512768734334
2,8,5e-05,300,0.31786296031291067
2,8,5e-05,350,0.31774885930142466
2,8,5e-05,400,0.3176752239964708
2,8,5e-05,450,0.31762586237187207
2,8,5e-05,500,0.3175917070025242
2,8,5e-05,550,0.31756776555843774
2,8,5e-05,600,0.31755040365664067

2,8,0.0001,50,0.32195843013473824
2,8,0.0001,100,0.31801822146282255
2,8,0.0001,150,0.31790885173663314
2,8,0.0001,200,0.3178758518314086
2,8,0.0001,250,0.31786573789335726
2,8,0.0001,300,0.317865351143104
2,8,0.0001,350,0.31786966396777855
2,8,0.0001,400,0.3178760276212294
2,8,0.0001,450,0.3178831528868045
2,8,0.0001,500,0.3178905943999202
2,8,0.0001,550,0.3178980005833189
2,8,0.0001,600,0.31790480896362455

2,8,0.0003,50,0.3281507936057998
2,8,0.0003,100,0.33191159280094074
2,8,0.0003,150,0.3256428934771204
2,8,0.0003,200,0.3214867050624132
2,8,0.0003,250,0.319330967855718
2,8,0.0003,300,0.31829110098020047
2,8,0.0003,350,0.31784274301509124
2,8,0.0003,400,0.3176357728406545
2,8,0.0003,450,0.3176052546438214
2,8,0.0003,500,0.31766350878121263
2,8,0.0003,550,0.3177510165116493
